Id,artist,album,title,Genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,The Rope River Blues Band,Smith Enjoys a Full Bush.,Weatherman,SoulRB-Country-Folk-Pop-Experimental-Rock-Blues,Avant-Garde,melancholy,love to death,Ivanhoe,czHit,my pleasuredome,oni pout,the Beowulfs choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Little Howlin' Wolf,Brave Nu World,Baltimore Raven,SoulRB-Blues,maryland,animals,places,cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Loren Connors and Bill Orcutt,NATCH 8,Untitled 3,SoulRB-Blues,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Nobody's Bizness,Ao Vivo Na Capela da Misericórdia,Down in the Dumps,SoulRB-Blues,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Patchwork on the Blues,netBloc Vol. 01: The Opening Salvo,Good 'ol Shoe,SoulRB-Blues,moses rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Wildbirds and Peacedrums,Live at WFMU on Trouble's Show on 6/19/2008,Lost Love,Blues-SoulRB,deathcore,death metal,screamo,amazing,alternative,darkwave,saw live,bring me the horizon,love lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,James Beaudreau,Java St. Bagatelles (WBR 01),Hare,SoulRB-Blues-Experimental-Rock,folk,singer-songwriter,hares,keele folk club,KEXP Song of the Day,male and female duet,tortoises,2008,foxes,reptiles,I like this,contemporary folk,animals,male vocals,lovely,female vocals,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,James Beaudreau,Java St. Bagatelles (WBR 01),Nebula,SoulRB-Blues-Experimental-Rock,movie music great action cues,80s,Soundtracks,symphonic,favourite tracks,film score,Star Trek,cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,James Beaudreau,Java St. Bagatelles (WBR 01),Plum,SoulRB-Blues-Experimental-Rock,female vocalists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Mr. & Mrs. Smith,Uncertain Gravity,magic magic,SoulRB-Blues-Folk,alternative,rock,punk rock,pop punk,emo,Angels And Airwaves,space rock,00s,happy,Love,punk,Awesome,indie,Music that makes me happy,dance rock,catchy,clapping,optimistic,tom delonge,ava,relates to my life,feel good,2007,upbeat,for the losers,One Tree Hill,Pop-punk,Love it,makes you want to dance,magical,handclaps,favorites,american,pop,keinohrhasen,alternative punk,gute laune,fave bands,Pop-Rock,radio single,road trip,Uplifting,best songs ever,More Favorites,cool,advice,Progressive rock,dance my ass off music,<3,Soundtrack,My fave bands,Favorite,the best,The Fucking Best,Favourite Songs,favorite songs,my music,melodic,keyjun,wdw,heard on lastfm,the hills,oh hell yes,pure art,makes me think of you,ZET,hot voice,ht,best-of,7,Addictions,snowboarding,used cd store,318ooo,wdw 500,singlesphere,fave rock songs,roky pirulito,blaze to this one,this song reminds me of how much i love my girlfriend,is that my unicorn,fave tunez,nicolelove88,keinohrhasen soundtrack,Orange County Drum,channel 1,Silverberg,suicide murder machine,Channel 3,ht2,list-datomm,delta radio countdown,Fave Male Singers,Sromkie Approved,put this on a mixtape,Angel and Airwaves,Angel and airwanes,dzordzowo,,
1021,Steve Gunn,Live at Café OTO (Tusk Weekend),The Lurker,Blues-SoulRB-Folk,singer-songwriter,21st century folk,less than 100,radio as i want it,less than 50,less than 30,yet another 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Mr. & Mrs. Smith,A Collector's Guidebook,Sirens,SoulRB-Blues-Folk,rock,Angels And Airwaves,indie rock,feel good,alternative,punk rock,tom delonge,dance rock,pop punk,indie,ava,space rock,favorite songs,Love,emo,feel alive,sirens,Makes Me Smile,pop rock,lovesong,spacerock,Progressive rock,punk alternative,lyrics i love,twilight,00s,get it later,pretty,sirens-angels n airwaves,Mellow,pop,cool,Awesome,amazing,The Fucking Best,drums,Sromkie Approved,pop punk 2,when I love someone,Super cooler Song,sincerity,tim burton should make a movie about this,rockear,leapsandbounds favorite songs,A and A,from time to time,131,head up,Angels And Airwaves 4ever,audioase,angels  airwaves,Dreamy,puts me in a good mood,rockon,fave rock songs,i lov eyou,just jump,fave tunez,orange county drum and percussion,newrocktrackradio:-9,Rock-Sirens-A Benefit for the Victims of The 2007 San Diego Wildfires-Angels and Airwaves,Orange County Drum,Im dancing wth my naked body,benimm gibi,suicide murder machine,3393430,nice,alternative rock Etiketli Radyo,play dat again,lyric Check,Chill und Dream,Fave Male Singers,Buon umore,male vocalist,Favourites,sing alongs,fave bands,altrock,My fave bands,male vocalists,best songs ever,male vocals,Dream,breakup,male singer,road trip,other,Blink 182,emotional,Pop-Rock,charlotte,Energetic,ZET,hhh,melodic,Progressive,hopeful,Bra skit,,
1023,Mr. & Mrs. Smith,A Collector's Guidebook,Paris,SoulRB-Blues-Folk,that shit cray,rap,Hip-Hop,PARRIS,best of 2011,i,jay-z,Kanye West,collaborations,2011,Energetic,my fucking jam,luved,GREATEST EVER,2010s,songs from my 2011,kanye,d,Rap/Hip Hop,10s,jay-z kanye west,sonic rock,perfect,aitch,beats,epic,aitchrap,hiphop,Music for dudes who spray their cologne in the air and shimmy into the mist,aitchepic,aitchsonic,flow rap,best of 2012,aitchchill,aitchawake,MOONH8SUN,hip hop tag,Bev g,best tracks of 2011,Watch The Throne,aitchknight,Niggas in Paris,shut up i dont listen to rap,bawka,Niggas in patis,coolstroll,play-more,esc ctrl,Romme,metal,aggressive,jjj,cool,party,english,chill,duo,paris,Muse,Provocative,featuring,roc-a-fella,love at first listen,def jam,Fierce,Awake,saturdaynight,UK top 40,west,bangin,illuminati,us top 40,n-a,damned good,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Roger McGuinn,Folk Den Project,St James Infirmary,SoulRB-Blues-Folk,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Barrence Whitfield and The Savages,Live on WFMU's Cherry Blossom Clinic  Dec 3rd 2011,Willie Meehan,Blues-SoulRB-Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Mr. & Mrs. Smith,From Holly, with Love,SoulRB-Blues-Folk-Experimental,60s,classic rock,Fleetwood Mac,rock,christine mcvie,folk-rock,pop,cover,Stevie Nicks,do you wanna dance,folk pop,danny kirwan,30 Strand Grass,folk,oldies,folk rock,California,the mamas and the papas,slgdmfolk,My 60s - 70s childhood,60er,beach twilight,mamas and the papas,Schmalz,Meanjeanjams,plucked or strummed,happy love songs,schmonzette,Gute Oldies,de todo mio favoritos,maxi lista1,hey mr tambourine man,cwdb - oldies,double-ender 1,viola1,If You Can Believe Your Eyes and Ears,acordei meio retro - meio brega,evf4,slgdmbestof,mcvie nicks,easy listening,soft rock,Love,favourite,singer-songwriter,dance,test,cover version,pop rock,classics,acoustic pop,adult contemporary,great cover,less than three,Mama,questions,everyday,the voyage in,FAVORITA,close harmony,good covers,the 60's,american pop,favoritas,1968,Mamas and Papas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,The New Mystikal Troubadours,Second Spring,Thyme,SoulRB-Blues-Folk-Experimental,classic rock,folk rock,1960s,rock,folk,lovedbybeyondwithin,Titanium Salvia Lapis Lazuli,folk-rock,cover,foxes harmonies,my love in the hills,wild mountain flowers,Mellow,psychedelic,summer,Mellow-Yellow,mountain music,summer breeze,plant kingdom,summer 07,may day,froot cornered,altparty,easychill,sitrc: forests and woodland,bag o rocks,pop,where is my bong,classic,blues,chill,favourite artists,violin,sad,art rock,Good Stuff,britpop,harmonies,Faves,wild,pirates,psychedelic folk,old favorites,1966,Library,byrds,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,The New Mystikal Troubadours,The New Mystikal Troubadours,Summer's Song,SoulRB-Blues-Folk-Experimental,alternative,pop punk,rock,singer-songwriter,piano rock,emo,catchy,male vocalist,the rocket summer,Favourites,pop- punk,yeaaa,summer night-stereo up-windows down,whats so wrong with pop punk anyway,song is cool,good title,Sounds good,van risseghem,love at first listen,this is me saying words i actually mean,sing,powerpop,fantastic,00s,amazing,pop rock,Awesome,fun,dance,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Little Howlin' Wolf,Brave Nu World,Big Ole Bear,Blues-SoulRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Wildbirds and Peacedrums,Live at WFMU on Trouble's Show on 6/19/2008,There Is No Light,Blues-SoulRB,jazz,folk,alternative,experimental,female vocalists,drums,weird,wild,new find,glorious noise,best of 2009,thereisnolight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,The New Mystikal Troubadours,Joplin Tape No. 1,I,SoulRB-Blues-Folk-Experimental-Rock,indie,indie rock,alternative,alternative rock,The Killers,favorites,00s,Killers,american,Awesome,pop,catchy,epic,indie pop,Favorite,i got soul but im not a soldier,male vocalists,Favourites,all these things that ive done,Love,brilliant,2004,punk,britpop,fun,happy,new wave,party,upbeat,synth rock,las vegas,male vocalist,feel good,beautiful,pop rock,love at first listen,favourite,emo,All These Things That I've Done,Love it,Soundtrack,Good Stuff,anthem,electronic,soul,great,favorite songs,sing-along,optimistic,cool,Soundtrack Of My Life,punk rock,Anthemic,sing along,Driving,great lyrics,Favourite Songs,singalong,2000s,memories,makes me happy,amazing,Bloody great,USA,Hot Fuss,song to sing to,loved,energy,want to see live,Mellow,dance,The Killers - all these things that ive done,Nevada,southland tales,groove,nike,gospel influences,major key tonality,Alternative  Punk,FUCKING AWESOME,post-punk,electric rock instrumentation,Progressive rock,chill,alt rock,modern rock,5 Stars,electronic rock,classic rock,sexy,Uplifting,relax,coolwench,singer-songwriter,spotify,Indie-Rock,favourite tracks,Dreamy,,
1032,The Agrarians,All Patrol the Alchemist,Bury the Dead,SoulRB-Blues-Folk-Experimental-Rock,death metal,Melodic Death Metal,metal,Swedish Metal,thrash,The Haunted,bury your dead,metalcore,718 Metal,deathgrind,5-star,brutal,Extreme Metal,Trash,Sweden,heavy metal,heavy,melodeth,grind and grindcore,sika redem,drowningman,buried inside,devil sold his soul,Fuckin Metal,death - black,Black and Death Metal,GrindGoreHardcoreMetal,Minsk,Burst,killer riffs,haunted,Funeral Procession,Political Grindcore,Modern thrash metal,Brutal Gore Metal,hardcore,aggressive,718 Love,the best the haunted song,fucking ultra speedy deathrash,holy shit what a fucking cool riff,tu-pa tu-pa,speed kill,music that rocks a lot,steven chaverra,next d,modern trash,31989,tap666,Mendigao thrash,CHOO CHOO TRAIN 2k5,swedish thrash metal,death thrash metal sweden,liberating,B R U T A L,Angels Metal Zone,gore death metal,death metal black metal,melodic death,Fucking Brutal,Grind,fav,brazilian metal,Brutal Death Metal,brazilian,Dead,grindcore,death,trash metal,melodic metal,Swedish Death Metal,Favorite,brazil,fast,brasil,powerful,Awesome,Gothic Metal,good,Neurosis,Deftones,swedish,every time i die,sinister,brutal death,GLASSJAW,deathmetal,Blackened Death Metal,death-grind,tool,Good Metal,Power metal,triumphant,Pounding,some,converge,botch,Post-Thrash,,
1033,The New Mystikal Troubadours,III,Copenhagen,SoulRB-Blues-Folk-Experimental-Rock,the knife,swedish,electro,ambient,Soundtrack,electronica,dark,Down,Fever,Avantgarde Pop,foreing,K1MO likes,The Knife - Girls Night Out,uovertruffent,PetShopAholic,alphaerick,post-revolutionary pop song,numa nightcap,Roaming the Globe,Good Stuff,2003,soothing,female vocalists,garage,Soundtracks,disturbing,Sweden,scandinavian,idm,dark ambient,singer-songwriter,pop,indie,psychedelic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,The Agrarians,A Body Through the Day,Farewell Song,SoulRB-Blues-Folk-Experimental-Rock,death metal,swedish,Sweden,melodeath,Death-Black Metal,swedish melodic death,new true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,The KrestArians,KrestArians' 45,A Little Soul,SoulRB-Blues-Folk-Pop-Experimental-Rock,funk,acid jazz,lounge,ambient,downtempo,chill,Lo-Fi,dbugrooves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,The KrestArians,God Rest Ye, Merry Gentlemen,SoulRB-Blues-Folk-Pop-Experimental-Rock,Christmas tag,Tinsel,soul,Christmas Songs,play1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Fit and the Conniptions,Sweet Sister Starlight,Many Many,SoulRB-Blues-Folk-Rock,alternative rock,alternative,jack white,amazing,indie rock,00s,Garage Rock,blues,Songs that make me want to strip down to my underwear and sing in front of a mirror using a hairbrush for a microphone,2008,rock   alternative  alternative rock   indie rock,blues rock,indie,Southern Rock,Favourites,Raconteurs radio,soundtrack to my life,pop,the raconteurs,perfect,TP,songs that you wanna listen to over and over again,a7,classic rock song,Consolers of the Lonely 2008,One of the best,Perfect song,I love,rock band,real music,any colour you like,bzzzzt,true guitar,brendan benson,how I feel most of the time,luv it,shades,guitar riffs and solos,rock band dlc,RACONTEURS,kolory,songs i never get tired of listening to,songs that i will still be listening to in a billion years,colorful,breakup,absolute favourites,cool,2000s,melancholy,depressing,addictive,experimental,Favorite,Love,favorites,rockin,trumpet,Mellow,kickass,consolers of the lonely,american,summer 2008,Stepharvey31,bottled heart,npr all songs considered,brizante,this song is really something,favorites 2008,best songs 2008,i would like to hear this live,Something I Have Gone Through,daterape,best of 2008,mi likes,Lilian Lies,strange trip,so fucking catchy,radioparadise,la sube,10 of 10 stars,- D -,tinglerz,ZicCool,apumrwork,Excelente solo de guitarra con whammy,theres so many shades of black but then im listening to them i see only beautiful rainbow with jacks head on the main,so so so so so so so so so so good,americana,the passion with which i love this is entirely irrational and yet i dont really care,Pelinho arrepiando,Fodona na cabeca,songs with colors in their titles,list-datomm,when you really need it,favourite songz,tanzwuetig,ballet coreography,david bowie moment,,
1038,Fit and the Conniptions,Sweet Sister Starlight,Spider Song,SoulRB-Blues-Folk-Rock,indie rock,alternative rock,rock,alternative,pop,Psychedelic Rock,emo,1999,Roctronik,Experimental Rock,indie pop,experimental,instrumental,The Flaming Lips,loss,90s,1990s,spider,animal kingdom,sitrc: insects and arachnids,Justin Edward Zeigler,Justin Zeigler,favorite songs,psychedelic,Mellow,beautiful,favorites,happy,Emotional Adult Rock,songs: whistling,good4,neat drums,Punch-Drunk Love,The spiderbite song OTH,The Flaming Lips - The Spiderbite Song,galactic symphony,Alternative  Punk,pope john paul the third,best music ever made,apartment soundtrack,affective,to drive,head-boppin,missing teens,JEZ-RIP:1973-2013,JEZ-73-13,nice,loved-ones,weord,gdchills90s,boost bar,drums I like,alt rock,spiderbite,american i like,krumpa,ewaka,freaky lyrics,workstudy,Alternative In The 1990s,Noah Eatons All-Time Favorite Songs,Sentimental Favorites From The 1990s,They Might Be Giants,oklahoma,male vocalist,zzz,animals,sadness,aww,american,poignant,angels,trippy,strange,beck,silly,Heartbreaking,fav,chill,art rock,ryan beebe,nadi,Ironies,german cars vs american homes,james call,Dearly Departed,piano,blissrock,most loved,noone,clementine,luv it,drozd,yolala nofx,grief,tmbg,SPARKS,Alternative Indie Rock,,
1039,Fit and the Conniptions,Sweet Sister Starlight,Spellbound,SoulRB-Blues-Folk-Rock,new wave,80s,goth,Gothic,Gothic Rock,female vocalists,punk,alternative,somafm,Bagel,british,Siouxsie and the Banshees,darkwave,77davez-all-tracks,rock,Post punk,Siouxsie,goth rock,alternative rock,dark,favorites,1981,dark lady,witch,femme fatale,spellbound,dark wave,punk rock,halloween,female vocalist,amayzes loved,Pure Beauty,kickass,Greatest Songs Of All Time,spooky,drumlove,uk-misc,crazy,gute Stimme,Solomusika-PostPunk,favourite lyrics,favourite,1976-1981 according to stretchead,lizvelrene postpunk,Roctronik,Female rebel society,amazing vocals,classic,fantastic opener,Out of Space,Siouxsie sioux,davaho53,posh,I want back to the 80s,on repeat,kiss them for me,garage days,she wants revenge,goldfrapp,tanzdrang,melody maker,chick rock,Love,Favourites,indie,pop,dance,Solomusika-Loved,Favourite Songs,British Punk,<3,beautiful,kappe fav,true blood,test,early gothic,gothic punk,80's,Siouxsie and the Banshees-Spellbound,kroq-classics,NoddY RioT,Driving,songs to freak out,Great album openers,atmospheric,madameb,essential,oldies,Resistance is futile,loved tracks,wave,favorite songs,yes,Energetic,lizvelrene loves,Halloween Party,stupidmemories,played at an edgar general night,,
